Profil;h;b;d;t;r;A;Wely;Welz;Wply;Wplz;Iy;Iz;Iv;Iw;g;iy;iz;Avy;Avz;Wv
-;mm;mm;mm;mm;mm;mm2;mm3;mm3;mm3;mm3;mm4;mm4;mm4;mm6;kg/m;mm;mm;mm2;mm2;mm3
RHS150x100x10-K;150;100;10;10;15;4260;155000;123000;199000;150000;11600000;6140000;14300000;0;33.4;52.2;38;2556.0;1704.0;211000
RHS160x80x5-K;160;80;5;5;5;2240;90200;61000;113000;69700;7220000;2440000;6010000;0;17.5;56.8;33;1493.3;746.7;106000
RHS160x80x6-K;160;80;6;6;6;2640;105000;70200;132000;81300;8360000;2810000;7020000;0;20.7;56.2;32.6;1760.0;880.0;122000
RHS160x80x8-K;160;80;8;8;12;3360;125000;83700;163000;100000;10000000;3350000;8820000;0;26.4;54.6;31.6;2240.0;1120.0;150000
RHS180x100x5-K;180;100;5;5;5;2640;125000;90400;154000;103000;11200000;4520000;10400000;0;20.7;65.3;41.4;1697.1;942.9;154000
RHS180x100x6-K;180;100;6;6;6;3120;146000;105000;181000;120000;13100000;5240000;12300000;0;24.5;64.8;41;2005.7;1114.3;179000
RHS180x100x8-K;180;100;8;8;12;4000;178000;127000;226000;150000;16000000;6370000;15700000;0;31.4;63.2;39.9;2571.4;1428.6;222000
RHS200x100x5-K;200;100;5;5;5;2840;146000;99400;181000;112000;14600000;4970000;12100000;0;22.3;71.7;41.9;1893.3;946.7;172000
RHS200x100x6-K;200;100;6;6;6;3360;170000;115000;213000;132000;17000000;5770000;14200000;0;26.4;71.2;41.4;2240.0;1120.0;200000
RHS200x100x8-K;200;100;8;8;12;4320;209000;141000;267000;165000;20900000;7050000;18100000;0;33.9;69.5;40.4;2880.0;1440.0;250000
RHS200x100x10-K;200;100;10;10;15;5260;244000;164000;318000;195000;24400000;8180000;21500000;0;41.3;68.2;39.4;3506.7;1753.3;292000
RHS200x100x12-K;200;100;12;12;24;6010;261000;175000;350000;215000;26100000;8760000;24100000;0;47.1;65.9;38.2;4006.7;2003.3;322000
RHS200x120x5-K;200;120;5;5;5;3040;165000;125000;201000;141000;16500000;7500000;16500000;0;23.8;73.7;49.7;1900.0;1140.0;210000
RHS200x120x6-K;200;120;6;6;6;3600;193000;146000;237000;166000;19300000;8740000;19500000;0;28.3;73.2;49.3;2250.0;1350.0;245000
RHS200x120x8-K;200;120;8;8;12;4640;239000;180000;298000;209000;23900000;10800000;25100000;0;36.5;71.7;48.2;2900.0;1740.0;308000
RHS250x150x6-K;250;150;6;6;6;4560;311000;236000;378000;266000;38900000;17700000;38900000;0;35.8;92.3;62.3;2850.0;1710.0;396000
RHS250x150x8-K;250;150;8;8;12;5920;391000;296000;482000;340000;48900000;22200000;50500000;0;46.5;90.8;61.2;3700.0;2220.0;504000
RHS250x150x10-K;250;150;10;10;15;7260;466000;351000;582000;409000;58300000;26300000;61200000;0;57;89.6;60.2;4537.5;2722.5;602000
RHS250x150x12-K;250;150;12;12;24;8410;517000;390000;658000;463000;64600000;29300000;70900000;0;66;87.7;59;5256.3;3153.8;684000
RHS300x100x6-K;300;100;6;6;6;4560;318000;168000;411000;188000;47800000;8420000;24000000;0;35.8;102;43;3420.0;1140.0;306000
RHS300x100x8-K;300;100;8;8;12;5920;399000;209000;523000;238000;59800000;10400000;30800000;0;46.5;100;42;4440.0;1480.0;385000
RHS300x100x10-K;300;100;10;10;15;7260;474000;245000;631000;285000;71100000;12200000;36800000;0;57;99;41.1;5445.0;1815.0;455000
RHS300x200x6-K;300;200;6;6;6;5760;491000;396000;588000;446000;73700000;39600000;81200000;0;45.2;113;82.9;3456.0;2304.0;651000
RHS300x200x8-K;300;200;8;8;12;7520;626000;504000;757000;574000;93900000;50400000;106000000;0;59.1;112;81.9;4512.0;3008.0;838000
RHS300x200x10-K;300;200;10;10;15;9260;754000;606000;921000;698000;113000000;60600000;130000000;0;72.7;111;80.9;5556.0;3704.0;1012000
RHS300x200x12-K;300;200;12;12;24;10800;853000;685000;1056000;801000;128000000;68500000;152000000;0;84.8;109;79.6;6480.0;4320.0;1167000
RHS400x200x8-K;400;200;8;8;12;9120;949000;652000;1173000;728000;190000000;65200000;158000000;0;71.6;144;84.5;6080.0;3040.0;1133000
RHS400x200x12.5-K;400;200;12.5;12.5;25;13700;1355000;926000;1714000;1062000;271000000;92600000;236000000;0;108;141;82.2;9133.3;4566.7;1644000
SHS20x20x2-V;20;20;2;2;2;140;739;739;930;930;7390;7390;12200;0;1.1;7.27;7.27;70;70;1070
SHS40x40x3-V;40;40;3;3;3;434;4890;4890;5970;5970;97800;97800;157000;0;3.41;15;15;217;217;7100
SHS40x40x4-V;40;40;4;4;4;559;5910;5910;7440;7440;118000;118000;195000;0;4.39;14.5;14.5;279.5;279.5;8540
SHS40x40x5-V;40;40;5;5;5;673;6680;6680;8660;8660;134000;134000;225000;0;5.28;14.1;14.1;336.5;336.5;9600
SHS50x50x3-V;50;50;3;3;3;554;8080;8080;9700;9700;202000;202000;321000;0;4.35;19.1;19.1;277;277;11800
SHS50x50x4-V;50;50;4;4;4;719;9990;9990;12300;12300;250000;250000;404000;0;5.64;18.6;18.6;359.5;359.5;14500
SHS50x50x5-V;50;50;5;5;5;873;11600;11600;14500;14500;289000;289000;476000;0;6.85;18.2;18.2;436.5;436.5;16700
SHS60x60x3-V;60;60;3;3;3;674;12100;12100;14300;14300;362000;362000;569000;0;5.29;23.2;23.2;337;337;17700
SHS60x60x4-V;60;60;4;4;4;879;15100;15100;18300;18300;454000;454000;725000;0;6.9;22.7;22.7;439.5;439.5;22000
SHS60x60x5-V;60;60;5;5;5;1073;17800;17800;21900;21900;533000;533000;864000;0;8.42;22.3;22.3;536.5;536.5;25700
SHS70x70x3-V;70;70;3;3;3;794;16900;16900;19900;19900;590000;590000;922000;0;6.24;27.3;27.3;397;397;24800
SHS70x70x4-V;70;70;4;4;4;1040;21300;21300;25500;25500;747000;747000;1180000;0;8.15;26.8;26.8;520;520;31200
SHS70x70x5-V;70;70;5;5;5;1270;25300;25300;30800;30800;885000;885000;1420000;0;9.99;26.4;26.4;635;635;36800
SHS80x80x3-V;80;80;3;3;3;910;22500;22500;26300;26300;898000;898000;1400000;0;7.18;31.3;31.3;455;455;33000
SHS80x80x4-V;80;80;4;4;4;1200;28600;28600;34000;34000;1140000;1140000;1800000;0;9.41;30.9;30.9;600;600;41900
SHS80x80x5-V;80;80;5;5;5;1470;34200;34200;41100;41100;1370000;1370000;2170000;0;11.6;30.5;30.5;735;735;49800
SHS80x80x6-V;80;80;6;6;6;1740;39100;39100;47800;47800;1560000;1560000;2520000;0;13.6;30;30;870;870;56800
